ClientId: 1012
Textbook 5/10
Song 8/17
MovieRental 6/11
Shoes 5/15
Song 8/1
Lamp 5/20
MovieRental 9/16
Blu-Ray 1/18
Lamp 6/7
Blu-Ray 3/10
Phone 5/4
Blu-Ray 11/4
Lamp 4/22
Song 9/26
MovieRental 3/4
Song 5/22
Textbook 12/18
Lamp 6/19
MovieRental 5/4
Shoes 10/23
Shoes 11/18
Song 1/2
MovieRental 5/2
MovieRental 1/12
Textbook 8/1
Song 9/17
MovieRental 2/1
Song 5/14
Song 4/8
Phone 4/21
Phone 2/15
MovieRental 2/8
Shoes 6/9
Shoes 8/11
Textbook 10/16
Textbook 4/10
Blu-Ray 12/25
MovieRental 3/15
Blu-Ray 5/17
MovieRental 7/1
Textbook 12/12
Lamp 12/2
Shoes 1/15
Blu-Ray 4/10
Shoes 12/24
Phone 12/2
Shoes 5/1
Phone 6/5
Textbook 4/26
Phone 6/10
Phone 9/7
Song 1/8
Song 7/25
Song 8/23
Lamp 9/22
Song 4/4
MovieRental 6/12
MovieRental 9/25
MovieRental 4/4
Textbook 6/10
Blu-Ray 6/25
Blu-Ray 8/11
Blu-Ray 1/7
Lamp 4/18
Lamp 12/24
MovieRental 3/10
